Country,Code,Year,Nuclear_Pct
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,0
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,0
Austria,AUT,2001,0
Austria,AUT,2002,0
Austria,AUT,2003,0
Austria,AUT,2004,0
Austria,AUT,2005,0
Austria,AUT,2006,0
Austria,AUT,2007,0
Austria,AUT,2008,0
Austria,AUT,2009,0
Austria,AUT,2010,0
Austria,AUT,2011,0
Austria,AUT,2012,0
Austria,AUT,2013,0
Austria,AUT,2014,0
Austria,AUT,2015,0
Austria,AUT,2016,0
Austria,AUT,2017,0
Austria,AUT,2018,0
Austria,AUT,2019,0
Austria,AUT,2020,0
Austria,AUT,2021,0
Austria,AUT,2022,0
Belgium,BEL,1965,0
Belgium,BEL,1966,0.004279176
Belgium,BEL,1967,0.06386287
Belgium,BEL,1968,0.037189946
Belgium,BEL,1969,0.012221684
Belgium,BEL,1970,0.029974239
Belgium,BEL,1971,0
Belgium,BEL,1972,0.005546642
Belgium,BEL,1973,0.0378119
Belgium,BEL,1974,0.07624646
Belgium,BEL,1975,3.7160206
Belgium,BEL,1976,5.181654
Belgium,BEL,1977,6.152732
Belgium,BEL,1978,6.1779966
Belgium,BEL,1979,5.473749
Belgium,BEL,1980,6.28998
Belgium,BEL,1981,6.778338
Belgium,BEL,1982,8.632464
Belgium,BEL,1983,13.708486
Belgium,BEL,1984,15.095815
Belgium,BEL,1985,18.035742
Belgium,BEL,1986,19.899645
Belgium,BEL,1987,20.578224
Belgium,BEL,1988,20.722084
Belgium,BEL,1989,19.670311
Belgium,BEL,1990,19.509747
Belgium,BEL,1991,18.917803
Belgium,BEL,1992,19.221395
Belgium,BEL,1993,18.848497
Belgium,BEL,1994,17.362528
Belgium,BEL,1995,17.459427
Belgium,BEL,1996,17.225065
Belgium,BEL,1997,18.650774
Belgium,BEL,1998,17.81293
Belgium,BEL,1999,19.04926
Belgium,BEL,2000,18.382523
Belgium,BEL,2001,17.732296
Belgium,BEL,2002,18.085253
Belgium,BEL,2003,17.310596
Belgium,BEL,2004,17.110222
Belgium,BEL,2005,17.295948
Belgium,BEL,2006,16.796942
Belgium,BEL,2007,17.139906
Belgium,BEL,2008,15.839842
Belgium,BEL,2009,17.678175
Belgium,BEL,2010,16.69833
Belgium,BEL,2011,17.893238
Belgium,BEL,2012,15.47942
Belgium,BEL,2013,15.8885975
Belgium,BEL,2014,13.461277
Belgium,BEL,2015,10.260129
Belgium,BEL,2016,15.758331
Belgium,BEL,2017,15.059978
Belgium,BEL,2018,10.165352
Belgium,BEL,2019,14.908889
Belgium,BEL,2020,13.068869
Belgium,BEL,2021,17.11372
Belgium,BEL,2022,16.073992
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,1.0970328
Bulgaria,BGR,1975,2.731498
Bulgaria,BGR,1976,5.0377827
Bulgaria,BGR,1977,5.638109
Bulgaria,BGR,1978,5.469179
Bulgaria,BGR,1979,5.5100193
Bulgaria,BGR,1980,5.206458
Bulgaria,BGR,1981,7.8164997
Bulgaria,BGR,1982,8.991337
Bulgaria,BGR,1983,10.2371645
Bulgaria,BGR,1984,10.645422
Bulgaria,BGR,1985,11.060186
Bulgaria,BGR,1986,9.96664
Bulgaria,BGR,1987,10.189973
Bulgaria,BGR,1988,12.835609
Bulgaria,BGR,1989,11.765628
Bulgaria,BGR,1990,12.798168
Bulgaria,BGR,1991,14.218344
Bulgaria,BGR,1992,13.240602
Bulgaria,BGR,1993,15.015017
